tconst,nconst,director_id
tt0192731,nm0653211,9252
tt0192788,nm0683578,9578
tt0192788,nm0206767,3445
tt0192789,nm0776899,10746
tt0192912,nm0148115,2637
tt0192947,nm0108768,2131
tt0192949,nm0000780,170
tt0193011,nm0108754,2130
tt0193011,nm0004775,640
tt0193135,nm0871456,11962
tt0193318,nm0560135,8055
tt0193364,nm0504802,7359
tt0193365,nm0602155,8567
tt0193537,nm0322539,4860
tt0193545,nm0084388,1834
tt0193545,nm0164531,2920
tt0193560,nm0591171,8430
tt0193598,nm0055045,1462
tt0193854,nm0180912,3127
tt0193859,nm0191584,3267
tt0194104,nm0892400,12233
tt0194143,nm0662090,9355
tt0194218,nm0111303,2164
tt0194368,nm0530579,7687
tt0194368,nm1969399,26525
tt0194410,nm0595136,8492
tt0194519,nm0788526,10905
tt0195108,nm0275628,4274
tt0195234,nm0170719,2994
tt0195308,nm0437182,6385
tt0195308,nm0397791,5831
tt0195393,nm0180017,3116
tt0195551,nm0874795,12013
tt0195631,nm0487597,7115
tt0195685,nm0001752,347
tt0195714,nm0939128,12813
tt0195778,nm0686184,9619
tt0195857,nm0698378,9768
tt0195860,nm0265086,4129
tt0195944,nm0271084,4222
tt0195945,nm0139867,2549
tt0196068,nm0935095,12760
tt0196069,nm0659023,9306
tt0196106,nm0898547,12311
tt0196158,nm0089502,1884
tt0196216,nm0000095,3
tt0196219,nm0089502,1884
tt0196223,nm0160952,2867
tt0196229,nm0001774,352
tt0196708,nm0525141,7634
tt0196723,nm0443329,6503
tt0197072,nm0671060,9449
tt0197096,nm0149446,2658
tt0197299,nm0388302,5723
tt0197384,nm0003343,505
tt0197633,nm0736286,10209
tt0197644,nm1085552,15409
tt0197646,nm0317102,4788
tt0197750,nm0241090,3864
tt0197753,nm0912874,12510
tt0197862,nm0861638,11820
tt0197929,nm0723426,10059
tt0197951,nm0560927,8061
tt0197996,nm0445730,6542
tt0198013,nm0359918,5374
tt0198021,nm0931285,12720
tt0198284,nm0861151,11813
tt0198386,nm0227781,3707
tt0198460,nm0197824,3335
tt0198748,nm0054155,1443
tt0198781,nm0230032,3737
tt0198781,nm0798899,11038
tt0198781,nm0881279,12114
tt0198893,nm0781230,10808
tt0198903,nm0096025,1966
tt0199007,nm0320697,4838
tt0199129,nm0908326,12440
tt0199290,nm0690770,9677
tt0199314,nm0826437,11390
tt0199481,nm0233585,3782
tt0199504,nm0630391,8954
tt0199602,nm0953395,13052
tt0199626,nm0001005,217
tt0199650,nm0382776,5655
tt0199725,nm0697656,9755
tt0199727,nm0025823,1071
tt0199727,nm0120987,2283
tt0199744,nm0002840,462
tt0199753,nm0388817,5732
tt0199898,nm0946875,12919
tt0199974,nm0175730,3054
tt0200027,nm0001508,302
tt0200171,nm0493701,7193
tt0200192,nm0000972,212
tt0200422,nm0030612,1126
tt0200427,nm0169296,2970
tt0200465,nm0002044,384
tt0200472,nm0582479,8321
tt0200483,nm0077820,1721
tt0200525,nm0943445,12865
tt0200530,nm0037708,1218
tt0200550,nm0573589,8219
tt0200669,nm0412465,6075
tt0200720,nm0203993,3412
tt0200940,nm0320697,4838
tt0200954,nm0887996,12182
tt0201020,nm0723570,10062
tt0201275,nm0857217,11759
tt0201394,nm0000907,196
tt0201479,nm0309456,4694
tt0201485,nm0566380,8139
tt0201670,nm0447312,6558
tt0201694,nm0552693,7966
tt0201726,nm0000608,136
tt0201737,nm0670580,9442
tt0201844,nm0384862,5679
tt0201844,nm0384863,5680
tt0201888,nm0856124,11750
tt0201899,nm0640964,9096
tt0201901,nm0414312,6095
tt0201934,nm0338422,5088
tt0202236,nm0887055,12170
tt0202294,nm0007050,792
tt0202314,nm0567979,8163
tt0202360,nm0016377,953
tt0202402,nm0713527,9953
tt0202452,nm0629216,8932
tt0202458,nm0050466,1397
tt0202470,nm0378893,5609
tt0202487,nm0295017,4520
tt0202560,nm0341607,5127
tt0202623,nm0103655,2072
tt0202641,nm0208343,3455
tt0202677,nm0003160,493
tt0202695,nm0003469,516
tt0202711,nm0790957,10934
tt0202829,nm0111673,2172
tt0202856,nm0455873,6702
tt0202989,nm0004627,627
tt0203009,nm0525303,7635
tt0203019,nm0863387,11844
tt0203047,nm0873641,11998
tt0203053,nm0170113,2985
tt0203078,nm0192311,3279
tt0203119,nm0322242,4854
tt0203144,nm0681162,9554
tt0203166,nm0600546,8549
tt0203206,nm0558533,8036
tt0203230,nm0518836,7554
tt0203289,nm0659313,9310
tt0203297,nm0344973,5169
tt0203536,nm0801916,11079
tt0203540,nm0380957,5637
tt0203580,nm0534979,7743
tt0203584,nm0002645,443
tt0203584,nm0591362,8431
tt0203632,nm0878756,12078
tt0203755,nm0958969,13140
tt0203830,nm0103498,2068
tt0203835,nm0278735,4318
tt0203912,nm0699315,9782
tt0203940,nm0428109,6273
tt0203952,nm1141083,16634
tt0203975,nm0915529,12540
tt0204137,nm0000114,9
tt0204175,nm0410769,6048
tt0204250,nm0002844,463
tt0204313,nm0001317,269
tt0204322,nm0003931,562
tt0204350,nm0011689,883
tt0204352,nm0109112,2134
tt0204382,nm0396108,5810
tt0204619,nm0316957,4787
tt0204626,nm0152741,2722
tt0204640,nm0794971,10990
tt0204679,nm0352168,5270
tt0204679,nm1603717,23198
tt0204698,nm1129307,16377
tt0204700,nm0219136,3589
tt0204885,nm0628146,8917
tt0204932,nm0540297,7815
tt0204933,nm0765307,10573
tt0204946,nm0715636,9982
tt0205177,nm0125753,2353
tt0205271,nm0000265,54
tt0205380,nm0195934,3316
tt0205418,nm1077968,15246
tt0205461,nm0020150,1002
tt0205498,nm0557846,8027
tt0205521,nm0922162,12627
tt0205526,nm0490375,7142
tt0205729,nm0409079,6020
tt0205778,nm0228400,3718
tt0205873,nm0803203,11095
tt0205936,nm0175365,3049
tt0206075,nm0878716,12077
tt0206088,nm0118345,2252
tt0206098,nm0134396,2475
tt0206113,nm0082841,1809
tt0206184,nm0806248,11132
tt0206211,nm1028137,14079
tt0206223,nm0228479,3721
tt0206226,nm0455214,6694
tt0206275,nm0141961,2576
tt0206314,nm0001093,232
tt0206367,nm0636487,9032
tt0206367,nm0723704,10063
tt0206420,nm0868643,11921
tt0206545,nm0800086,11050
tt0206608,nm0778338,10769
tt0206634,nm0190859,3248
tt0206694,nm0735435,10199
tt0206742,nm0464180,6803
tt0206762,nm0184016,3157
tt0206778,nm0139617,2547
tt0206917,nm0006845,771
tt0206926,nm0255780,4031
tt0206926,nm0491402,7159
tt0206963,nm0001441,295
tt0207036,nm0001942,374
tt0207161,nm0903232,12367
